Status,Topic,Order,Problem,Difficulty,LeetCode URL,Companies,Pattern,Date Done,Attempts,Time (min),Revisit,Notes
Todo,Arrays & Hashing,1,Two Sum,Easy,https://leetcode.com/problems/two-sum/,"Amazon, Google, Meta, Microsoft, Apple",Hash Map,,,,N,
Todo,Arrays & Hashing,2,Contains Duplicate,Easy,https://leetcode.com/problems/contains-duplicate/,"Amazon, Apple",Hash Set,,,,N,
Todo,Arrays & Hashing,3,Valid Anagram,Easy,https://leetcode.com/problems/valid-anagram/,"Amazon, Bloomberg",Hash Map,,,,N,
Todo,Arrays & Hashing,4,Group Anagrams,Medium,https://leetcode.com/problems/group-anagrams/,"Amazon, Uber, Meta",Hash Map,,,,N,
Todo,Arrays & Hashing,5,Top K Frequent Elements,Medium,https://leetcode.com/problems/top-k-frequent-elements/,"Amazon, Meta, Uber",Heap / Hash,,,,N,
Todo,Arrays & Hashing,6,Product of Array Except Self,Medium,https://leetcode.com/problems/product-of-array-except-self/,"Amazon, Meta, Apple, Microsoft",Prefix Product,,,,N,
Todo,Arrays & Hashing,7,Encode and Decode Strings,Medium,https://leetcode.com/problems/encode-and-decode-strings/,"Meta, Google",String Encoding,,,,N,
Todo,Arrays & Hashing,8,Longest Consecutive Sequence,Medium,https://leetcode.com/problems/longest-consecutive-sequence/,"Google, Amazon, Microsoft",Hash Set,,,,N,
Todo,Arrays & Hashing,9,Valid Sudoku,Medium,https://leetcode.com/problems/valid-sudoku/,"Amazon, Apple",Hash Set,,,,N,
Todo,Arrays & Hashing,10,First Missing Positive,Hard,https://leetcode.com/problems/first-missing-positive/,"Amazon, Microsoft",Index Marking,,,,N,
Todo,Arrays & Hashing,11,Subarray Sum Equals K,Medium,https://leetcode.com/problems/subarray-sum-equals-k/,"Meta, Amazon, Google",Prefix Sum,,,,N,
Todo,Arrays & Hashing,12,Contiguous Array,Medium,https://leetcode.com/problems/contiguous-array/,"Meta, Amazon",Prefix Sum,,,,N,
Todo,Arrays & Hashing,13,4Sum II,Medium,https://leetcode.com/problems/4sum-ii/,Amazon,Hash Map,,,,N,
Todo,Arrays & Hashing,14,Sort Colors,Medium,https://leetcode.com/problems/sort-colors/,"Microsoft, Amazon",Dutch National Flag,,,,N,
Todo,Arrays & Hashing,15,Next Permutation,Medium,https://leetcode.com/problems/next-permutation/,"Amazon, Google, Microsoft",Permutation,,,,N,
Todo,Arrays & Hashing,16,Rotate Array,Medium,https://leetcode.com/problems/rotate-array/,"Microsoft, Amazon",Array Reverse,,,,N,
Todo,Arrays & Hashing,17,Merge Intervals,Medium,https://leetcode.com/problems/merge-intervals/,"Amazon, Google, Meta, Bloomberg",Intervals,,,,N,
Todo,Arrays & Hashing,18,Insert Interval,Medium,https://leetcode.com/problems/insert-interval/,"Google, LinkedIn",Intervals,,,,N,
Todo,Arrays & Hashing,19,Non-overlapping Intervals,Medium,https://leetcode.com/problems/non-overlapping-intervals/,"Amazon, Meta",Greedy Intervals,,,,N,
Todo,Arrays & Hashing,20,Set Matrix Zeroes,Medium,https://leetcode.com/problems/set-matrix-zeroes/,"Amazon, Microsoft",Matrix,,,,N,
Todo,Arrays & Hashing,21,Spiral Matrix,Medium,https://leetcode.com/problems/spiral-matrix/,"Microsoft, Amazon, Apple",Matrix,,,,N,
Todo,Arrays & Hashing,22,Rotate Image,Medium,https://leetcode.com/problems/rotate-image/,"Amazon, Microsoft, Apple",Matrix,,,,N,
Todo,Arrays & Hashing,23,Game of Life,Medium,https://leetcode.com/problems/game-of-life/,"Dropbox, Amazon",Matrix,,,,N,
Todo,Two Pointers,1,Valid Palindrome,Easy,https://leetcode.com/problems/valid-palindrome/,"Meta, Microsoft",Two Pointers,,,,N,
Todo,Two Pointers,2,Two Sum II - Input Array Is Sorted,Medium,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/,Amazon,Two Pointers,,,,N,
Todo,Two Pointers,3,3Sum,Medium,https://leetcode.com/problems/3sum/,"Amazon, Meta, Microsoft, Adobe",Two Pointers,,,,N,
Todo,Two Pointers,4,Container With Most Water,Medium,https://leetcode.com/problems/container-with-most-water/,"Amazon, Bloomberg, Apple",Two Pointers,,,,N,
Todo,Two Pointers,5,Trapping Rain Water,Hard,https://leetcode.com/problems/trapping-rain-water/,"Amazon, Google, Bloomberg, Apple",Two Pointers / Stack,,,,N,
Todo,Two Pointers,6,Move Zeroes,Easy,https://leetcode.com/problems/move-zeroes/,"Meta, Apple",Two Pointers,,,,N,
Todo,Two Pointers,7,Remove Duplicates from Sorted Array,Easy,https://leetcode.com/problems/remove-duplicates-from-sorted-array/,"Amazon, Microsoft",Two Pointers,,,,N,
Todo,Two Pointers,8,Remove Element,Easy,https://leetcode.com/problems/remove-element/,—,Two Pointers,,,,N,
Todo,Two Pointers,9,4Sum,Medium,https://leetcode.com/problems/4sum/,Amazon,Two Pointers,,,,N,
Todo,Two Pointers,10,Boats to Save People,Medium,https://leetcode.com/problems/boats-to-save-people/,Amazon,Greedy Two Pointers,,,,N,
Todo,Two Pointers,11,Partition Labels,Medium,https://leetcode.com/problems/partition-labels/,"Amazon, Meta",Greedy,,,,N,
Todo,Sliding Window,1,Best Time to Buy and Sell Stock,Easy,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,"Amazon, Meta, Microsoft, Bloomberg",Sliding Window,,,,N,
Todo,Sliding Window,2,Longest Substring Without Repeating Characters,Medium,https://leetcode.com/problems/longest-substring-without-repeating-characters/,"Amazon, Meta, Google, Adobe",Sliding Window,,,,N,
Todo,Sliding Window,3,Longest Repeating Character Replacement,Medium,https://leetcode.com/problems/longest-repeating-character-replacement/,"Google, Amazon",Sliding Window,,,,N,
Todo,Sliding Window,4,Permutation in String,Medium,https://leetcode.com/problems/permutation-in-string/,"Microsoft, Amazon",Sliding Window,,,,N,
Todo,Sliding Window,5,Minimum Window Substring,Hard,https://leetcode.com/problems/minimum-window-substring/,"Meta, Uber, LinkedIn, Amazon",Sliding Window,,,,N,
Todo,Sliding Window,6,Sliding Window Maximum,Hard,https://leetcode.com/problems/sliding-window-maximum/,"Amazon, Google",Deque,,,,N,
Todo,Sliding Window,7,Find All Anagrams in a String,Medium,https://leetcode.com/problems/find-all-anagrams-in-a-string/,"Amazon, Meta",Sliding Window,,,,N,
Todo,Sliding Window,8,Max Consecutive Ones III,Medium,https://leetcode.com/problems/max-consecutive-ones-iii/,"Microsoft, Amazon",Sliding Window,,,,N,
Todo,Sliding Window,9,Fruit Into Baskets,Medium,https://leetcode.com/problems/fruit-into-baskets/,"Amazon, Google",Sliding Window,,,,N,
Todo,Sliding Window,10,Subarray Product Less Than K,Medium,https://leetcode.com/problems/subarray-product-less-than-k/,Amazon,Sliding Window,,,,N,
Todo,Sliding Window,11,Frequency of the Most Frequent Element,Medium,https://leetcode.com/problems/frequency-of-the-most-frequent-element/,—,Sliding Window,,,,N,
Todo,Sliding Window,12,Minimum Size Subarray Sum,Medium,https://leetcode.com/problems/minimum-size-subarray-sum/,"Amazon, Goldman Sachs",Sliding Window,,,,N,
Todo,Binary Search,1,Binary Search,Easy,https://leetcode.com/problems/binary-search/,—,Binary Search,,,,N,
Todo,Binary Search,2,Search a 2D Matrix,Medium,https://leetcode.com/problems/search-a-2d-matrix/,"Amazon, Microsoft",Binary Search,,,,N,
Todo,Binary Search,3,Koko Eating Bananas,Medium,https://leetcode.com/problems/koko-eating-bananas/,"Google, Amazon",Binary Search on Answer,,,,N,
